Acinetobacter	Anabaena	Bacillus	Bdellovibrio	Burkholderia	Chlamydia	Chlamydophila	Clostridium	Escherichia	Lactococcus	Microcystis	Mycobacterium	Prochlorococcus	Pseudomonas	Salmonella	Shigella	Staphylococcus	Streptococcus	Synechococcus	Vibrio	Yersinia
mcl_638	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
mcl_639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
mcl_640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
mcl_646	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mcl_648	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
mcl_657	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_660	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
mcl_662	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_663	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
mcl_664	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mcl_668	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0
mcl_673	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_674	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
mcl_679	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_682	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_683	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mcl_685	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0
mcl_700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
mcl_705	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mcl_707	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
mcl_711	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_713	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0
mcl_722	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_725	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mcl_728	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
mcl_729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
mcl_731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mcl_732	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
mcl_733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
mcl_734	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
mcl_740	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
mcl_742	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
mcl_755	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_756	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_769	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0
mcl_770	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
mcl_771	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
mcl_773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
mcl_777	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_779	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
mcl_780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_782	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
mcl_784	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
